"experiences_offered","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","weekly_price","monthly_price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","availability_30","availability_60","availability_90","availability_365","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","requires_license","instant_bookable","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","calculated_host_listings_count","reviews_per_month"
"none","within a few hours",0.8,0.5,"f","t","t","South Boston","t","Apartment","Private room",2,"1","1",1,"Real Bed",80,1000,3500,500,100,1,45,1,1125,30,55,85,360,3,87,10,9,10,9,9,9,"f","f","strict","f","f",2,0.2
"none","within a few hours",0.8,0.5,"f","t","t","South Boston","t","Apartment","Entire home/apt",2,"1","2",2,"Real Bed",250,1000,3500,450,135,1,35,1,1125,30,60,90,365,10,90,9,10,10,9,9,9,"f","f","strict","f","f",2,0.68
"none","within an hour",1,0.99,"t","t","t","South Boston","t","Condominium","Entire home/apt",6,"1","1",4,"Real Bed",225,1000,3500,500,100,2,35,1,1125,8,27,53,143,21,99,10,10,10,10,10,10,"f","f","strict","f","f",7,3.39
"none","within a few hours",0.97,0.96,"f","t","t","South Boston","t","Apartment","Entire home/apt",5,"2","2",2,"Real Bed",250,1000,3500,300,100,1,0,1,1125,0,7,32,122,7,97,10,10,10,10,9,10,"f","t","flexible","f","f",1,5
"none","within an hour",1,0.79,"f","t","t","South Boston","t","Apartment","Entire home/apt",7,"2","2",4,"Real Bed",225,1000,3500,500,75,4,25,2,1125,13,41,68,158,1,100,10,10,10,10,10,10,"f","f","strict","f","f",1,1
"none","within a day",0.69,0.95,"f","t","f","South Boston","t","House","Entire home/apt",4,"1","1",1,"Real Bed",156,1000,3500,100,80,1,0,2,1125,2,12,29,70,2,100,10,10,10,10,9,10,"f","f","flexible","f","f",2,0.81
"none","within a few hours",1,1,"t","t","t","South Boston","t","House","Entire home/apt",3,"1","1",2,"Real Bed",175,1225,5250,500,100,1,0,5,1125,4,13,33,304,23,99,10,10,10,10,10,9,"f","f","strict","f","f",1,1.23
"none","within an hour",1,0.95,"t","t","t","Allston","t","House","Private room",2,"1","1",1,"Real Bed",100,1000,3500,100,100,1,0,1,1125,0,0,0,119,20,100,10,10,10,10,10,10,"f","f","flexible","f","f",10,3.16
"none","a few days or more",0,1,"f","t","f","Allston","t","House","Private room",1,"1","1",1,"Real Bed",33,1000,3500,100,100,1,0,1,1125,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","within an hour",0.85,1,"f","t","f","Allston","t","Apartment","Private room",2,"1","1",1,"Real Bed",103,1000,3500,100,100,1,0,1,1125,30,60,90,365,5,84,8,9,8,10,10,8,"f","f","flexible","f","f",1,0.96
"none","within an hour",1,1,"f","t","t","Allston","t","Apartment","Entire home/apt",4,"1","1",2,"Real Bed",110,1000,2000,100,100,0,0,5,36,0,0,0,213,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",2,1.97090844821492
"none","within a few hours",1,0.75,"f","t","t","Allston","f","Apartment","Entire home/apt",4,"1","1",1,"Real Bed",175,1000,3500,100,100,1,0,1,1125,29,59,89,364,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",2,1.97090844821492
"none","within an hour",1,1,"f","t","f","Allston","t","Apartment","Private room",2,"0","1",1,"Real Bed",60,1000,3500,100,10,1,20,1,1125,0,0,0,0,1,100,10,8,10,10,10,10,"f","f","flexible","f","f",1,0.06
"none","within a few hours",1,0.87,"t","t","f","Allston","t","Apartment","Entire home/apt",2,"1","0",1,"Real Bed",175,990,3450,100,100,2,25,5,60,11,20,50,325,12,98,10,10,10,10,9,10,"f","f","strict","f","f",12,0.18
"none","within an hour",1,1,"f","t","t","Allston","f","Apartment","Private room",2,"1","1",1,"Real Bed",99,1000,3500,100,100,1,0,1,1125,0,0,0,248,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","within an hour",1,0.95,"t","t","t","Allston","t","House","Private room",2,"2","1",1,"Real Bed",120,380,1400,100,100,1,20,6,1125,0,0,0,119,25,100,10,10,10,10,10,10,"f","f","flexible","f","f",10,3.91
"none","within a few hours",0.7,0.5,"f","t","t","Allston","t","Apartment","Private room",2,"1","1",1,"Real Bed",50,1000,3500,100,100,1,10,10,45,7,37,67,67,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","moderate","f","f",1,1.97090844821492
"none","within an hour",1,1,"f","f","f","Allston","t","Apartment","Entire home/apt",4,"1","1",2,"Real Bed",100,1000,3500,100,100,1,25,1,1125,0,0,0,0,10,96,10,10,9,8,9,10,"f","t","strict","f","f",1,4.62
"none","within a few hours",1,0.95,"f","t","t","Allston","t","Apartment","Entire home/apt",7,"1","2",3,"Real Bed",260,1000,3500,300,50,3,20,2,1125,20,48,77,349,49,93,10,10,10,10,9,9,"f","f","strict","f","f",2,2.06
"none","within an hour",1,1,"f","t","t","Allston","t","Apartment","Private room",2,"1","1",1,"Real Bed",85,500,3500,100,100,1,0,2,1125,0,0,0,0,11,96,10,9,10,10,9,10,"f","f","moderate","f","f",3,0.99
"none","within an hour",1,1,"f","t","t","Allston","t","Apartment","Private room",2,"1","1",1,"Real Bed",93,600,1700,100,100,1,0,4,1125,5,21,49,324,20,95,9,9,10,10,10,9,"f","f","moderate","f","f",2,0.64
"none","within a few hours",0.9,0.78,"f","t","t","Allston","t","Apartment","Private room",1,"1","1",1,"Real Bed",40,400,1200,100,50,1,0,7,365,0,0,0,249,34,90,9,8,9,9,9,9,"f","f","strict","f","f",2,0.38
"none","within an hour",1,1,"f","t","t","Allston","t","House","Private room",1,"2","1",1,"Futon",39,232,819,125,10,1,0,1,7,0,0,0,0,1,100,10,10,10,10,10,10,"f","t","strict","f","f",1,0.08
"none","within a few hours",1,1,"f","t","t","Allston","t","Apartment","Private room",2,"1","1",1,"Real Bed",85,500,1600,95,20,3,0,6,70,5,35,65,340,38,95,9,9,10,10,9,10,"f","f","moderate","f","f",1,1.49
"none","within an hour",1,0.95,"t","t","t","Allston","t","House","Private room",2,"2","1",1,"Real Bed",75,1000,1799,100,100,1,25,1,1125,0,0,0,263,68,95,10,9,10,10,10,9,"f","f","strict","f","f",10,2.38
"none","within an hour",1,1,"f","t","t","Allston","t","Apartment","Private room",2,"1","1",1,"Real Bed",76,1000,3500,200,20,1,0,1,1125,0,0,0,0,2,90,10,10,10,10,10,10,"f","f","moderate","f","f",2,0.16
"none","within a few hours",0.95,0.99,"f","t","t","Allston","t","House","Private room",1,"2","1",1,"Real Bed",40,215,850,100,100,0,0,1,1125,1,13,36,311,95,92,9,9,9,10,9,9,"f","f","strict","f","f",6,4.57
"none","within an hour",1,1,"f","t","t","Allston","t","Apartment","Private room",1,"1","1",1,"Real Bed",50,540,3500,300,20,1,0,3,1125,0,0,0,0,5,88,9,8,9,10,9,10,"f","f","flexible","f","f",1,0.37
"none","within an hour",1,0.95,"t","t","t","Allston","t","House","Private room",2,"2","1",1,"Real Bed",69,459,1699,100,100,1,25,1,1125,0,0,0,144,59,94,9,9,9,10,9,9,"f","f","strict","f","f",10,1.69
"none","within an hour",1,1,"f","t","t","Allston","t","Apartment","Private room",1,"1","1",1,"Real Bed",108,1000,3500,500,80,1,70,2,28,18,48,78,78,2,60,6,6,10,10,6,6,"f","f","strict","f","f",5,0.13
"none","within a day",1,1,"f","t","f","Allston","t","House","Private room",2,"1","1",1,"Real Bed",119,1000,3500,100,100,2,100,2,1125,13,39,69,69,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",2,1.97090844821492
"none","within an hour",1,0.67,"f","t","t","Allston","t","House","Private room",1,"1.5","1",1,"Real Bed",32,320,1200,100,50,1,0,1,1125,0,0,0,0,4,95,10,9,10,10,8,9,"f","f","strict","f","f",9,0.32
"none","within a few hours",1,1,"f","t","f","Allston","f","Apartment","Private room",2,"1","1",1,"Real Bed",88,1100,3300,128,52,1,0,1,40,0,3,3,264,2,100,10,10,10,10,10,10,"f","f","moderate","f","f",1,1.25
"none","within an hour",1,1,"f","t","t","Allston","t","Apartment","Private room",2,"1","1",1,"Real Bed",60,1000,3500,100,100,1,10,3,1125,0,0,1,249,4,93,10,9,10,10,9,10,"f","f","flexible","f","f",1,1.03
"none","within an hour",1,0.82,"f","t","t","Allston","t","House","Private room",2,"1","1",1,"Airbed",130,1000,3500,100,50,1,100,1,1125,29,59,89,364,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","t","strict","f","f",4,1.97090844821492
"none","within a few hours",0.71,0.98,"f","t","t","Allston","t","Condominium","Entire home/apt",2,"1","0",0,"Real Bed",168,1000,3500,400,95,0,10,3,1125,0,0,0,0,2,80,9,9,6,7,7,8,"f","t","moderate","f","f",58,0.36
"none","within an hour",1,1,"f","t","t","Allston","t","Apartment","Private room",1,"1","1",1,"Real Bed",60,1000,3500,100,100,1,0,1,1125,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","within an hour",1,1,"f","t","t","Allston","t","Apartment","Private room",2,"1","1",1,"Real Bed",40,1000,3500,100,100,1,0,6,1125,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","within a few hours",0.71,0.98,"f","t","t","Allston","t","Condominium","Entire home/apt",2,"1","1",1,"Real Bed",179,1000,3500,400,95,1,10,3,1125,0,0,0,0,1,100,10,10,8,8,10,10,"f","t","strict","f","f",58,0.39
"none","within an hour",1,1,"f","t","t","Allston","t","Condominium","Entire home/apt",6,"1","3",3,"Real Bed",350,1900,3500,200,130,6,0,2,1125,7,26,54,311,19,95,10,10,10,10,10,10,"f","f","strict","f","f",1,1.98
"none","within an hour",1,1,"f","t","f","Allston","f","House","Private room",2,"2","1",1,"Real Bed",50,1000,3500,100,10,1,10,4,1125,0,0,0,3,1,60,6,4,10,10,10,6,"f","f","flexible","f","f",4,0.09
"none","within an hour",1,1,"f","t","t","Allston","t","Apartment","Private room",3,"1","1",2,"Real Bed",70,1000,3500,100,15,1,30,1,1125,14,38,68,158,45,94,9,9,9,10,10,9,"f","f","moderate","f","f",1,7.26
"none","a few days or more",0.33,1,"f","t","f","Allston","f","Apartment","Private room",2,"1","1",1,"Real Bed",77,1000,3500,100,20,1,20,2,1125,8,38,68,343,2,90,9,9,10,8,8,9,"f","f","flexible","f","f",1,1.62
"none","within an hour",1,1,"f","t","f","Allston","t","Apartment","Entire home/apt",4,"2","2",2,"Real Bed",189,1000,3500,200,50,1,0,2,90,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","within an hour",1,1,"f","t","t","Allston","f","Apartment","Entire home/apt",4,"1","2",2,"Real Bed",195,1000,3500,100,100,1,0,1,1125,0,0,0,0,1,100,10,10,10,10,10,10,"f","f","flexible","f","f",1,0.19
"none","within an hour",0.99,0.93,"f","t","t","Allston","f","House","Private room",2,"1","1",1,"Real Bed",72,1000,3500,100,30,1,20,2,138,0,1,31,121,2,100,10,10,10,10,10,10,"f","t","strict","f","f",24,1.82
"none","within a few hours",1,0.87,"t","t","f","Allston","t","Apartment","Entire home/apt",3,"1","1",3,"Real Bed",189,1090,4250,100,100,2,25,3,89,3,22,47,319,12,98,10,10,10,10,9,10,"f","f","strict","f","f",12,0.58
"none","within an hour",1,1,"f","t","f","Allston","t","Apartment","Entire home/apt",5,"1","2",2,"Real Bed",524,1000,3500,100,100,1,0,2,1125,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","within an hour",1,1,"t","t","t","Allston","t","Apartment","Entire home/apt",2,"1","0",2,"Real Bed",78,1000,3500,100,75,2,20,2,1125,0,5,16,121,8,93,10,9,10,10,10,10,"f","t","moderate","f","f",2,0.88
"none","within an hour",1,1,"f","t","f","Allston","t","House","Private room",2,"2","1",1,"Real Bed",40,1000,3500,100,15,1,10,1,1125,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",4,1.97090844821492
"none","within a few hours",1,0.67,"t","t","t","Allston","t","Apartment","Entire home/apt",4,"1","1",2,"Real Bed",210,1000,3500,1000,80,1,0,2,1125,1,1,7,75,20,99,10,10,10,10,10,10,"f","f","strict","f","f",1,2.37
"none","within an hour",1,1,"t","t","t","Allston","t","Apartment","Entire home/apt",4,"1","0",3,"Real Bed",95,730,2600,100,75,3,10,2,1125,0,6,33,127,103,97,10,10,10,10,10,10,"f","t","moderate","f","f",2,5.02
"none","within an hour",0.99,0.93,"f","t","t","Allston","f","House","Private room",2,"1","1",2,"Real Bed",79,1000,3500,100,30,1,20,2,146,4,32,62,337,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","t","strict","f","f",24,1.97090844821492
"none","within an hour",1,1,"f","t","f","Allston","t","Apartment","Private room",1,"1","1",1,"Real Bed",60,1000,3500,100,100,1,0,1,1125,0,0,0,0,2,90,9,8,9,9,9,9,"f","f","flexible","f","f",1,0.21
"none","within a few hours",1,0.6,"f","t","f","Allston","t","Apartment","Entire home/apt",4,"1","2",2,"Real Bed",145,1000,3500,100,100,1,0,2,1125,0,7,19,294,18,94,10,10,10,10,9,10,"f","f","strict","f","f",1,1.22
"none","within an hour",1,1,"f","t","t","Allston","t","Apartment","Private room",2,"2","1",1,"Real Bed",80,425,1800,100,35,1,0,1,1125,5,26,56,331,19,94,10,10,9,9,9,9,"f","t","flexible","f","f",8,6.55
"none","within an hour",1,1,"f","t","t","Allston","t","Villa","Private room",2,"1","1",1,"Real Bed",70,1000,3500,100,100,1,0,1,1125,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","within an hour",1,0.95,"t","t","t","Allston","t","House","Private room",2,"2","1",1,"Real Bed",65,500,1700,100,100,1,20,1,1125,10,10,10,262,39,96,10,10,9,10,9,10,"f","f","strict","f","f",10,1.6
"none","within an hour",1,0.95,"t","t","t","Allston","t","House","Private room",2,"2","1",1,"Real Bed",74,500,1750,100,100,1,25,1,1125,0,0,2,277,80,95,9,9,10,10,9,9,"f","f","strict","f","f",10,3.28
"none","within a day",1,1,"f","t","f","Allston","t","House","Private room",2,"1","1",2,"Real Bed",119,1000,3500,100,100,2,100,2,1125,15,36,66,66,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",2,1.97090844821492
"none","within an hour",0.99,0.93,"f","t","t","Allston","f","Apartment","Private room",2,"1","1",1,"Real Bed",85,1000,3500,100,30,1,20,2,125,0,1,31,121,2,100,10,10,10,10,10,10,"f","t","strict","f","f",24,1.82
"none","within a few hours",1,0.63,"f","t","t","Allston","t","House","Private room",1,"1.5","1",1,"Real Bed",45,1000,3500,100,50,1,0,1,1125,30,60,90,365,1,100,10,10,10,10,10,10,"f","f","strict","f","f",5,1
"none","within a few hours",1,0.86,"t","t","t","Allston","t","Apartment","Private room",2,"1","1",1,"Real Bed",90,679,2771,100,25,1,20,1,1125,9,29,59,334,74,96,10,9,10,10,10,9,"f","f","flexible","f","f",1,3.32
"none","within an hour",1,1,"f","t","t","Allston","t","Apartment","Entire home/apt",2,"1","0",1,"Real Bed",100,750,2000,200,50,2,0,1,1125,0,0,4,274,9,91,10,10,10,10,9,9,"f","f","strict","f","f",1,0.35
"none","a few days or more",0.33,1,"f","t","f","Allston","t","Apartment","Private room",1,"2","1",1,"Real Bed",40,1000,3500,100,10,1,10,1,1125,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","within an hour",1,1,"f","t","t","Allston","t","House","Entire home/apt",8,"2.5","4",6,"Real Bed",550,2895,8595,100,200,6,100,4,1125,22,52,82,357,6,85,8,10,10,9,9,8,"f","t","strict","f","f",7,0.56
"none","within an hour",1,0.67,"f","t","t","Allston","t","House","Private room",1,"1.5","1",1,"Real Bed",39,321,1134,700,50,1,0,2,360,18,48,78,353,6,87,9,9,9,10,8,9,"f","f","strict","f","f",9,0.47
"none","within a few hours",1,0.67,"f","t","f","Allston","t","Apartment","Private room",2,"1","1",1,"Real Bed",60,1000,3500,100,25,1,0,2,20,0,0,0,0,2,100,10,10,10,10,10,10,"f","t","flexible","f","f",1,0.92
"none","within an hour",1,1,"f","t","f","Allston","t","House","Private room",1,"2","1",1,"Real Bed",27,1000,3500,100,100,1,0,1,1125,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","within an hour",1,1,"f","t","t","Allston","f","House","Private room",2,"2","1",1,"Real Bed",75,399,1750,100,35,1,0,1,1125,6,36,66,341,21,90,10,10,10,9,9,9,"f","t","flexible","f","f",8,8.29
"none","within an hour",1,1,"f","t","t","Allston","t","Apartment","Private room",2,"1","1",2,"Real Bed",60,350,1350,100,100,1,0,18,1125,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","moderate","f","f",1,1.97090844821492
"none","within an hour",1,1,"f","t","f","Allston","t","Apartment","Private room",1,"2","1",1,"Real Bed",45,1000,3500,100,100,1,0,17,29,0,0,0,0,1,100,10,10,10,10,10,10,"f","f","strict","f","f",1,1
"none","within an hour",1,0.82,"f","t","t","Allston","t","House","Shared room",1,"2","1",1,"Couch",100,1000,3500,100,50,1,80,1,1125,29,59,89,364,1,100,10,10,10,10,10,10,"f","t","strict","f","f",4,0.37
"none","a few days or more",0.06,1,"f","t","f","Allston","t","Loft","Entire home/apt",3,"1","0",2,"Real Bed",130,1000,3500,100,70,1,0,1,1125,29,59,89,364,1,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,0.35
"none","within an hour",0.99,0.93,"f","t","t","Allston","t","Apartment","Private room",2,"1","1",1,"Real Bed",79,1000,3500,100,30,1,20,2,96,4,30,60,150,6,100,10,10,10,10,9,10,"f","t","strict","f","f",24,6
"none","a few days or more",0.33,1,"f","t","f","Allston","t","Apartment","Private room",1,"1","1",1,"Real Bed",90,1000,3500,100,20,1,0,5,1125,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","within an hour",0.99,0.93,"f","t","t","Allston","f","House","Private room",2,"1","1",1,"Real Bed",79,1000,3500,100,30,1,20,2,150,5,32,62,337,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","t","strict","f","f",24,1.97090844821492
"none","within an hour",1,1,"f","t","f","Allston","f","Apartment","Entire home/apt",2,"1","1",1,"Real Bed",75,1000,3500,100,20,2,20,1,1125,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","within an hour",1,1,"f","t","f","Allston","t","Apartment","Private room",2,"1","1",1,"Real Bed",58,1000,3500,100,100,1,0,1,1125,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","t","flexible","f","f",1,1.97090844821492
"none","within an hour",1,0.95,"t","t","t","Allston","t","House","Private room",2,"2","1",1,"Real Bed",75,560,1400,100,100,1,25,1,1125,0,0,0,262,83,96,10,9,10,10,9,10,"f","f","strict","f","f",10,3.43
"none","within a few hours",0.92,0.97,"f","t","f","Allston","f","Apartment","Entire home/apt",2,"1","1",1,"Real Bed",110,1000,3500,100,30,0,0,1,1125,0,0,0,214,5,96,10,10,10,10,10,10,"f","f","strict","f","f",1,4.41
"none","within an hour",1,1,"f","t","f","Allston","t","Condominium","Entire home/apt",4,"1","1",2,"Real Bed",180,1000,3500,1000,50,1,0,3,1125,0,0,0,259,1,100,10,10,10,10,10,10,"f","f","moderate","f","f",1,1
"none","within a few hours",0.95,0.99,"f","t","t","Allston","t","House","Private room",2,"2","1",1,"Real Bed",65,1000,1300,100,10,1,20,30,1125,21,51,81,356,36,87,9,9,9,10,9,9,"f","f","strict","f","f",6,1.69
"none","within an hour",1,0.95,"t","t","t","Allston","t","House","Private room",2,"2","1",1,"Real Bed",67,500,1900,100,100,1,20,1,1125,0,0,0,263,66,92,9,9,10,10,9,9,"f","f","strict","f","f",10,2.9
"none","within an hour",1,0.94,"f","t","f","Allston","t","Apartment","Private room",2,"1","1",1,"Real Bed",99,1000,3500,150,100,1,0,2,30,5,35,65,340,2,80,10,8,8,9,10,9,"f","f","strict","f","f",2,0.75
"none","within an hour",1,1,"t","t","t","Allston","t","Apartment","Private room",2,"1","1",1,"Real Bed",80,1000,3500,100,10,1,0,3,1125,0,0,0,0,1,100,10,10,10,10,10,10,"f","t","strict","f","f",2,0.32
"none","within a few hours",0.9,0.42,"f","t","f","Allston","f","Apartment","Entire home/apt",4,"1","1",2,"Real Bed",135,1000,3500,100,34,1,0,3,28,12,13,26,26,2,90,10,10,9,10,9,8,"f","f","flexible","f","f",1,0.69
"none","within an hour",1,0.67,"f","t","t","Allston","t","House","Private room",1,"1.5","1",1,"Real Bed",50,1000,3500,100,50,1,0,1,360,0,0,0,82,2,100,10,10,10,10,10,10,"f","f","strict","f","f",9,1.09
"none","within an hour",1,1,"f","t","f","Allston","t","Apartment","Entire home/apt",4,"1","1",1,"Real Bed",130,1000,3500,100,100,1,0,2,1125,0,0,0,0,5,96,10,9,10,10,10,10,"f","f","flexible","f","f",1,0.31
"none","within an hour",1,0.82,"f","t","t","Allston","t","House","Private room",2,"2","1",1,"Real Bed",130,1000,3500,100,50,1,100,1,1125,29,57,87,362,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","t","strict","f","f",4,1.97090844821492
"none","within an hour",1,1,"f","t","t","Allston","t","House","Private room",1,"1","1",1,"Real Bed",35,230,800,100,100,1,0,1,1125,0,0,0,0,2,50,7,6,8,7,8,5,"f","f","flexible","f","f",1,0.14
"none","within an hour",1,1,"f","t","f","Allston","t","Apartment","Entire home/apt",4,"1","2",2,"Real Bed",75,1000,3500,100,100,4,10,4,1125,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",2,1.97090844821492
"none","within an hour",1,1,"f","t","f","Allston","t","Apartment","Private room",1,"1","1",1,"Real Bed",60,280,3500,100,100,1,0,15,45,0,0,0,0,1,40,4,2,10,8,8,4,"f","f","strict","f","f",1,0.07
"none","within an hour",1,0.67,"f","t","t","Allston","t","House","Private room",1,"1.5","1",1,"Real Bed",58,309,1092,100,50,1,0,1,1125,30,60,90,365,5,84,10,9,9,10,9,9,"f","f","strict","f","f",9,0.42
"none","within an hour",1,1,"f","t","t","Allston","f","Apartment","Entire home/apt",4,"1","2",3,"Real Bed",208,1000,3500,118,80,3,100,1,28,0,0,30,30,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",5,1.97090844821492
"none","within a few hours",0.67,0.5,"f","t","f","Allston","t","Apartment","Entire home/apt",3,"1","0",2,"Real Bed",75,1000,3500,100,100,1,0,7,80,0,0,0,0,1,80,10,10,10,10,10,10,"f","f","flexible","f","f",1,1
"none","within an hour",1,1,"f","t","t","Allston","t","House","Private room",2,"2","1",1,"Real Bed",70,395,1600,100,35,0,0,1,1125,0,0,0,272,38,94,10,9,10,10,9,9,"f","t","flexible","f","f",8,4.81
"none","within an hour",1,1,"f","t","t","Allston","t","Apartment","Entire home/apt",3,"1","1",1,"Real Bed",295,1000,3500,250,25,1,0,1,365,10,40,70,345,31,96,10,10,10,10,9,9,"f","f","moderate","t","t",1,0.69
"none","within a few hours",1,0.75,"f","t","t","Allston","t","Apartment","Entire home/apt",2,"1","0",1,"Real Bed",150,1000,3500,350,75,2,0,5,30,30,60,90,365,7,86,7,8,9,10,9,8,"f","f","strict","f","f",2,3.39
"none","within a few hours",1,1,"f","t","f","Allston","t","Apartment","Entire home/apt",2,"1","1",1,"Futon",65,1000,3500,100,5,1,0,3,90,0,0,0,3,9,77,8,7,9,9,9,9,"f","f","flexible","f","f",1,3.03
"none","within a day",1,0.83,"f","t","t","Allston","t","Apartment","Entire home/apt",4,"1","1",1,"Real Bed",175,1400,3500,100,50,2,15,2,1125,1,4,7,198,8,98,10,10,10,10,10,10,"f","f","strict","f","f",1,0.71
"none","within an hour",1,1,"f","t","f","Allston","t","Apartment","Entire home/apt",2,"1","1",1,"Real Bed",175,900,3500,100,30,2,25,2,2,0,0,0,0,3,87,9,10,9,9,9,10,"f","f","moderate","f","f",1,0.26
"none","within a day",1,0.42,"f","t","f","Allston","t","Apartment","Private room",4,"0","1",2,"Real Bed",100,1000,3500,100,100,1,0,1,60,3,13,43,43,14,70,7,7,9,9,8,7,"f","f","flexible","f","f",4,0.48
"none","within a day",1,0.42,"f","t","f","Allston","t","Apartment","Entire home/apt",5,"1","2",4,"Real Bed",250,1000,3500,100,100,1,0,4,365,3,13,43,43,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",4,1.97090844821492
"none","within an hour",0.92,0.91,"t","t","t","Allston","t","Apartment","Entire home/apt",4,"1","2",2,"Real Bed",187,1000,4500,100,40,0,0,1,10,0,0,1,1,21,92,10,10,10,10,10,9,"f","t","strict","f","f",2,6.77
"none","within a day",1,0.42,"f","t","f","Allston","t","House","Private room",2,"1","1",1,"Real Bed",80,1000,3500,100,100,1,0,1,730,3,3,3,243,1,60,10,4,4,6,8,8,"f","f","strict","f","f",4,0.04
"none","within a day",0.9,0.95,"f","t","f","Allston","f","Apartment","Private room",2,"1","1",1,"Real Bed",70,1000,3500,100,5,1,0,1,3,2,23,53,328,22,93,10,10,10,9,9,9,"f","f","flexible","f","f",1,3.61
"none","within a day",1,0.42,"f","t","f","Allston","t","Apartment","Private room",1,"1","1",1,"Real Bed",115,1000,3500,100,100,1,0,1,90,3,13,43,43,2,60,6,5,8,8,8,7,"f","f","moderate","f","f",4,0.09
